Código,Nome,Volume,Última (R$),Variação
CAML3,Camil Alimentos,1.259.500,7,87,-0,63%
AMBP3,Ambipar,1.237.000,20,16,-1,13%
EVEN3,Even,1.230.900,6,85,+2,24%
ENJU3,Enjoei,1.179.700,1,37,-2,14%
BRIT3,Brisanet,1.100.100,2,73,+1,11%
PTBL3,Portobello,1.055.900,7,28,-2,67%
TASA4,Taurus,1.038.200,14,61,-2,14%
POMO3,Marcopolo,1.036.200,4,22,+1,20%
GGPS3,GPS,951.300,16,10,+0,19%
ATMP3,Atma,914.800,1,30,+11,11%
RANI3,Irani,905.400,9,18,-1,61%
ABCB4,Banco ABC Brasil,839.500,18,80,-0,05%
WIZC3,Wiz Soluções,827.100,6,62,+2,80%
RNEW3,Renova Energia,821.700,1,61,+4,55%
ITUB3,Itaú Unibanco,774.600,24,77,+0,77%
PGMN3,Pague Menos,763.500,4,32,+1,17%
CSED3,Cruzeiro do Sul Educacional,754.500,4,24,+6,00%
TUPY3,Tupy,721.000,26,46,+0,42%
BMGB4,Banco BMG,664.700,2,69,+0,00%
SQIA3,Sinqia,663.300,21,96,-0,54%
RNEW4,Renova Energia,632.900,1,67,+6,37%
BOAS3,Boa Vista,620.400,7,84,-0,13%
PORT3,Wilson Sons,587.200,13,86,+2,67%
SGPS3,Springs,578.400,3,47,-5,71%
PNVL3,Dimed,574.300,12,43,-1,66%
VIVR3,Viver,560.200,3,23,-1,22%
TTEN3,3tentos,532.800,12,68,+0,32%
KLBN3,Klabin,515.400,4,54,-2,58%
LUPA3,Lupatech,507.500,3,47,-1,42%
ORVR3,Orizon,505.100,36,77,-1,71%
BLAU3,Blau Farmacêutica,477.100,21,04,+0,57%
LOGG3,LOG CP,471.900,23,67,+3,50%
SHUL4,Schulz,467.100,5,97,+0,00%
AGRO3,BrasilAgro,466.300,24,55,-0,85%
OIBR4,Oi,455.700,2,47,+5,56%
JFEN3,João Fortes,452.800,3,80,+47,29%
OPCT3,OceanPact,419.300,4,36,+0,93%
MTRE3,Mitre Realty,409.200,6,65,+2,62%
ARML3,Armac,404.300,14,67,+0,62%
DASA3,Dasa,400.300,10,90,+2,83%
LAVV3,Lavvi Incorporadora,397.800,6,64,+2,00%
MDNE3,Moura Dubeux,396.800,9,10,+0,89%
BMOB3,Bemobi,374.100,14,15,-0,07%
AZEV3,Azevedo & Travassos,371.100,1,94,+10,23%
NINJ3,GetNinjas,370.100,3,70,+8,82%
VLID3,Valid,343.200,15,35,+1,72%
ALPK3,Estapar,335.100,4,07,-2,63%
MATD3,Mater Dei,329.400,10,89,-0,73%
SHOW3,Time For Fun,323.500,2,60,-4,41%
WEST3,Westwing,302.000,1,33,+1,53%
UNIP6,Unipar,295.000,79,57,+0,20%
HBRE3,HBR Realty,294.400,5,28,-0,19%
JALL3,Jalles Machado,293.200,8,30,+0,24%
ETER3,Eternit,293.000,12,00,-1,23%
CLSA3,ClearSale,279.200,7,27,+1,82%
USIM3,Usiminas,261.300,7,46,-0,53%
FRAS3,Fras-le,260.600,12,73,+0,55%
ITSA3,Itaúsa,255.900,10,00,+0,50%
SAPR3,Sanepar,250.200,4,20,+0,48%
VULC3,Vulcabras,249.800,17,03,+0,00%
SOJA3,Boa Safra Sementes,246.700,10,75,+0,09%
ROMI3,Indústrias ROMI,245.600,17,67,-1,28%
FIQE3,Unifique,230.900,4,10,-0,97%
JSLG3,JSL,227.000,8,70,-1,47%
CMIG3,CEMIG,218.000,18,74,+2,40%
PRNR3,Priner,217.600,9,32,+0,22%
FESA4,Ferbasa,204.100,47,90,+1,48%
SYNE3,SYN,202.200,3,96,+0,76%
RSID3,Rossi Residencial,194.100,5,00,-3,47%
INEP4,Inepar,191.200,3,74,-4,83%
VITT3,Vittia,183.300,11,30,-1,05%
AALR3,Alliar,183.000,23,28,-0,30%
PINE4,PINE,179.000,2,85,-1,38%
TCSA3,Tecnisa,174.600,3,95,+4,22%
TAEE4,Taesa,172.300,12,64,-0,32%
LEVE3,Mahle Metal Leve,170.400,45,76,+0,07%
PDTC3,Padtec,169.800,3,26,+4,82%
IGTI3,Iguatemi,168.200,2,82,+0,71%
IGTI3,Jereissati Participações,168.200,2,82,+0,71%
LPSB3,Lopes,163.100,2,69,+1,51%
PDGR3,PDG Realty,159.100,6,44,+1,90%
ALLD3,Allied,149.500,6,78,-1,74%
TGMA3,Tegma,141.200,22,70,+0,93%
LOGN3,Log-In,138.600,51,12,+0,53%
MELK3,Melnick,138.500,4,17,-0,24%
BOBR4,Bombril,135.300,1,88,+0,53%
SANB3,Banco Santander,130.500,14,60,+1,60%
TECN3,Technos,122.800,3,27,-0,30%
TPIS3,Triunfo,120.200,4,51,-2,17%
SANB4,Banco Santander,117.600,16,61,+0,54%
RPMG3,Refinaria de Manguinhos,98.900,2,35,+5,38%
AGXY3,AgroGalaxy,95.200,6,00,-3,23%
TFCO4,Track & Field,93.200,12,19,+2,52%
INEP3,Inepar,84.600,4,94,-1,20%
HAGA4,Haga,82.900,1,32,+2,33%
EUCA4,Eucatex,82.100,11,34,+0,98%
GGBR3,Gerdau,78.000,22,93,-0,48%
LVTC3,WDC Networks,77.100,6,85,+3,32%
PFRM3,Profarma,75.200,3,99,-0,75%
CTSA4,Santanense,73.300,3,44,-5,75%
BRPR3,BR Properties,73.000,72,10,+0,03%
TAEE3,Taesa,71.800,12,59,-0,16%
CAMB3,Cambuci,70.800,9,72,-0,82%
DEXP3,Dexxos,64.700,9,65,-0,52%
BRAP3,Bradespar,62.400,21,19,+0,09%
PMAM3,Paranapanema,61.300,4,89,-2,78%
SLED3,Saraiva,57.700,8,21,+0,00%
GOAU3,Metalúrgica Gerdau,57.100,11,65,-0,60%
BAHI3,Bahema,50.800,8,59,-2,05%
AVLL3,Alphaville,49.600,7,20,+2,56%
VVEO3,Viveo,44.500,20,28,-1,27%
CTNM4,Coteminas,43.500,3,46,-1,98%
DESK3,Desktop,43.300,11,50,+0,88%
CSUD3,CSU Cardsystem,38.700,13,88,+1,02%
IGTI4,Jereissati Participações,38.000,10,00,+1,42%
IGTI4,Iguatemi,38.000,10,00,+1,42%
NEXP3,Brasil Brokers,36.100,7,11,+10,40%
BRKM3,Braskem,36.000,29,75,-1,00%
TASA3,Taurus,36.000,14,75,-1,67%
ATOM3,ATOM,34.600,2,73,+1,87%
HOOT4,Hotéis Othon,34.000,2,46,-5,02%
ELMD3,Eletromidia,32.400,16,53,-2,42%
HAGA3,Haga,31.000,3,34,-0,60%
CEBR6,CEB,27.600,12,85,+0,39%
RAPT3,Randon,27.600,9,95,+1,22%
SNSY5,Sansuy,26.900,3,40,-3,41%
