Código;Nome;Volume;Última (R$);Variação
NEXP3;Brasil Brokers;36100;7,11;10,4
BRKM3;Braskem;36000;29,75;-1
TASA3;Taurus;36000;14,75;-1,67
ATOM3;ATOM;34600;2,73;1,87
HOOT4;Hotéis Othon;34000;2,46;-5,02
ELMD3;Eletromidia;32400;16,53;-2,42
HAGA3;Haga;31000;3,34;0,6
CEBR6;CEB;27600;12,85;0,39
RAPT3;Randon;27600;9,95;1,22
SNSY5;Sansuy;26900;3,4;-3,41
BEES4;Banestes;26500;10,65;-8,19
FHER3;Fertilizantes Heringer;24900;14,89;0,13
VSTE3;LE LIS BLANC;22700;18,29;0,49
UNIP3;Unipar;21100;75,24;0,45
COCE5;Coelce;18100;56,84;1,99
BEES3;Banestes;17600;9,3;-1,2
BRSR3;Banrisul;17100;14,74;1,24
CTSA3;Santanense;16700;4,35;0,23
DMVF3;D1000 Varejo Farma;16300;4,72;0,85
OSXB3;OSX Brasil;14700;5,3;1,92
BIOM3;Biomm;14400;6,5;-3,2
LAND3;Terra Santa;13200;23,45;0,21
ENGI4;Energisa;12700;8,27;0,36
ALUP4;Alupar;10600;9,92;0,7
ALUP3;Alupar;8800;9,88;0,2
PTNT4;Pettenati;8800;6,78;1,65
RDNI3;RNI;8200;6,17;-2,06
CGRA4;Grazziotin;8100;31,49;0,61
ALPA3;Alpargatas;7300;11,42;1,06
CGRA3;Grazziotin;6600;30,96;0,85
EALT4;Electro Aço Altona;6500;8,19;0,12
CEED3;CEEE D;6300;20,5;-6,22
BPAC5;Banco BTG Pactual;6300;7,64;1,87
UCAS3;Unicasa;6300;2,86;2,14
CEBR5;CEB;5800;12,6;0
CEBR3;CEB;5000;12,41;-1,27
DOHL4;Döhler;5000;5,56;-3,64
TELB4;Telebras;4800;12,78;4,75
BRIV3;Alfa Investimento;4800;9,2;-7,96
ENGI3;Energisa;4700;13,73;-2,07
BMEB4;Banco Mercantil do Brasil;4700;10,71;0,65
CEDO4;Cedro Têxtil;4700;9,8;0,78
PTNT3;Pettenati;4600;8,98;-1,32
RSUL4;Metalúrgica Riosulense;4100;62,5;0,62
OFSA3;Ourofino Saúde Animal;4100;25;-1,57
WHRL3;Whirlpool;4000;4,66;0
BAZA3;Banco da Amazônia;3900;68;0,22
MTSA4;METISA;3600;42,98;0,87
BPAC3;Banco BTG Pactual;3500;15,63;0,45
WHRL4;Whirlpool;3300;4,72;0
EUCA3;Eucatex;3000;15,7;0,25
MWET4;Wetzel;3000;11;-4,26
REDE3;Rede Energia;3000;5,63;0,54
CLSC4;Celesc;2500;56,92;0,05
EQPA3;Equatorial Energia Pará;2400;5,95;0,34
MGEL4;Mangels;2300;16,8;-3,45
FRTA3;Pomi Frutas;2300;2,4;-2,83
MNPR3;Minupar;2000;10,59;0,86
DEXP4;Dexxos;2000;9,4;1,08
CRPG5;Tronox Pigmentos;1800;36,77;1,55
BDLL4;Bardella;1600;10,3;0
WLMM4;WLM;1500;21,2;1,68
CRPG6;Tronox Pigmentos;1400;33,94;-1,62
CEDO3;Cedro Têxtil;1400;9,4;-6
APER3;Alper;1300;27,52;0,04
SNSY3;Sansuy;1200;5,21;0,39
TRPL3;Transmissão Paulista;1100;30,33;0,8
SCAR3;São Carlos;1100;20,6;0,3
BAUH4;Excelsior;1000;70,89;1,45
BALM4;Baumer;1000;9,1;-4,21
ENMT3;Energisa MT;800;70,95;0,07
ENMT4;Energisa MT;800;70,95;0,07
CTNM3;Coteminas;800;9,99;2,46
PLAS3;Plascar;800;8,65;0,8
PATI4;Panatlântica;700;35;0
MOAR3;Monteiro Aranha;600;418;0,44
UNIP5;Unipar;600;87,98;2,36
CLSC3;Celesc;600;56,87;-1,51
TELB3;Telebras;600;17,28;0,69
EPAR3;EPAR3;600;12,21;0,08
CGAS5;Comgás;400;129,49;0,78
GEPA3;Rio Paranapanema Energia;400;25;0
CTKA4;Karsten;400;10;0
HETA4;Hercules;400;6,38;4,08
CRIV3;Alfa Financeira;400;5,49;1,29
GEPA4;Rio Paranapanema Energia;300;26;0,04
GSHP3;General Shopping & Outlets;300;16,1;0,75
